no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_assets_value
3, Not Graduate, No,5400000,15800000,18,760, Approved,38600000
0, Not Graduate, No,500000,1900000,2,857, Approved,3700000
1, Graduate, No,8600000,26700000,10,735, Approved,52800000
3, Graduate, No,2500000,9300000,4,810, Approved,19100000
4, Not Graduate, No,3000000,7200000,2,680, Approved,15600000
5, Not Graduate, Yes,7000000,26900000,4,889, Approved,35400000
1, Not Graduate, Yes,400000,1500000,16,688, Approved,2100000
5, Not Graduate, No,5200000,13700000,16,531, Rejected,31900000
3, Graduate, No,3300000,11100000,2,660, Approved,27000000
1, Not Graduate, Yes,2400000,8800000,18,414, Rejected,15400000
4, Graduate, Yes,5800000,15800000,14,528, Rejected,36500000
4, Not Graduate, Yes,9400000,20000000,12,817, Approved,47600000
2, Not Graduate, No,6100000,15300000,2,799, Approved,35700000
1, Graduate, Yes,7500000,21400000,20,655, Approved,59500000
2, Not Graduate, No,4100000,16200000,6,546, Rejected,25400000
3, Not Graduate, No,8500000,30800000,14,745, Approved,45800000
0, Graduate, No,4300000,16900000,8,884, Approved,27600000
5, Not Graduate, No,9300000,22000000,4,822, Approved,67200000
4, Not Graduate, No,6000000,18700000,2,623, Approved,33100000
1, Not Graduate, Yes,5300000,18900000,16,361, Rejected,22700000
5, Not Graduate, Yes,7400000,16200000,2,778, Approved,48300000
1, Not Graduate, Yes,1100000,3800000,8,779, Approved,8000000
1, Graduate, Yes,6600000,20700000,4,594, Approved,40300000
3, Graduate, No,8200000,28300000,2,530, Approved,57800000
3, Not Graduate, No,3300000,9300000,12,324, Rejected,17400000
4, Graduate, Yes,2500000,9000000,10,394, Rejected,19000000
3, Graduate, Yes,3300000,10400000,12,816, Approved,30100000
5, Not Graduate, No,1000000,2300000,16,423, Rejected,6700000
5, Graduate, Yes,6200000,12800000,2,539, Rejected,42500000
1, Graduate, No,7000000,21000000,20,554, Approved,43700000
2, Graduate, Yes,7000000,19000000,6,523, Rejected,49900000
1, Not Graduate, Yes,5300000,12000000,10,852, Approved,34700000
0, Not Graduate, Yes,1800000,3700000,2,505, Rejected,12200000
0, Graduate, Yes,2300000,7900000,10,430, Rejected,19400000
2, Graduate, No,4000000,9200000,16,784, Approved,21700000
1, Not Graduate, No,8900000,24000000,6,380, Rejected,59100000
3, Graduate, No,8000000,18600000,20,565, Approved,42100000
4, Graduate, Yes,7900000,26900000,14,446, Rejected,49900000
5, Graduate, Yes,6700000,20200000,8,406, Rejected,34200000
4, Not Graduate, No,2400000,6000000,6,712, Approved,16200000
4, Not Graduate, No,8600000,22600000,14,729, Approved,48900000
1, Not Graduate, Yes,5300000,14600000,20,508, Rejected,35600000
0, Graduate, No,7400000,24900000,20,648, Approved,44500000
0, Not Graduate, Yes,8700000,18700000,10,346, Rejected,41900000
5, Graduate, No,8200000,18500000,4,394, Rejected,53800000
0, Not Graduate, Yes,3700000,9700000,12,501, Rejected,23000000
5, Not Graduate, Yes,9200000,36300000,2,655, Approved,45100000
4, Not Graduate, No,6100000,20900000,4,662, Approved,44600000
2, Graduate, Yes,8800000,30800000,20,820, Approved,44100000
5, Not Graduate, No,9200000,18900000,10,521, Rejected,53100000
3, Graduate, No,7200000,27900000,12,473, Rejected,66400000
1, Graduate, No,600000,1200000,10,561, Approved,3200000
5, Graduate, No,8000000,23100000,20,461, Rejected,44800000
4, Graduate, Yes,6900000,13800000,16,715, Approved,37300000
0, Not Graduate, Yes,4300000,15600000,18,440, Rejected,22200000
3, Not Graduate, Yes,8500000,24900000,18,749, Approved,52600000
4, Not Graduate, No,8600000,17400000,2,787, Approved,51300000
3, Graduate, No,6300000,13900000,18,748, Approved,56800000
3, Not Graduate, Yes,5800000,13600000,12,321, Rejected,30700000
3, Graduate, Yes,1000000,2300000,10,303, Rejected,4900000
0, Not Graduate, Yes,1700000,5400000,8,682, Approved,9400000
2, Not Graduate, No,3200000,8600000,18,638, Approved,18000000
0, Graduate, Yes,7500000,16600000,14,440, Rejected,66100000
1, Not Graduate, Yes,2000000,6600000,10,873, Approved,10300000
3, Not Graduate, No,9100000,19700000,20,437, Rejected,56600000
4, Graduate, Yes,8400000,19700000,8,796, Approved,55000000
4, Graduate, No,7100000,27200000,16,824, Approved,36700000
2, Not Graduate, No,200000,800000,6,338, Rejected,600000
0, Not Graduate, Yes,5000000,14900000,12,575, Approved,33200000
0, Not Graduate, Yes,4500000,16900000,8,773, Approved,33100000
2, Not Graduate, Yes,5100000,19700000,2,733, Approved,23600000
3, Graduate, Yes,4100000,10600000,14,475, Rejected,28100000
1, Not Graduate, No,7200000,15000000,10,677, Approved,43100000
3, Not Graduate, No,7800000,17700000,6,403, Rejected,51000000
3, Graduate, Yes,7500000,25300000,12,767, Approved,53000000
3, Graduate, Yes,6400000,21000000,2,813, Approved,39700000
4, Graduate, No,7000000,25700000,20,597, Approved,71000000
4, Not Graduate, Yes,9000000,31100000,8,896, Approved,48000000
2, Not Graduate, Yes,4400000,13900000,6,810, Approved,37600000
2, Not Graduate, No,900000,2000000,14,337, Rejected,4400000
1, Graduate, No,9800000,26900000,18,792, Approved,67100000
4, Not Graduate, No,600000,1600000,6,784, Approved,2800000
5, Graduate, Yes,9700000,30100000,12,434, Rejected,65400000
2, Graduate, Yes,8400000,32600000,10,384, Rejected,44100000
1, Graduate, No,8300000,24900000,10,642, Approved,54300000
4, Graduate, No,7900000,29900000,8,314, Rejected,60700000
1, Not Graduate, No,8600000,25900000,2,606, Approved,63500000
5, Not Graduate, Yes,6700000,17600000,14,843, Approved,38000000
0, Graduate, No,2700000,7400000,10,778, Approved,16000000
0, Not Graduate, No,6600000,25600000,8,718, Approved,55500000
1, Graduate, Yes,7100000,20800000,20,437, Rejected,50400000
5, Graduate, Yes,300000,700000,10,586, Approved,1500000
2, Graduate, No,2200000,7000000,6,777, Approved,14200000
1, Graduate, Yes,8700000,31700000,12,525, Rejected,54400000
4, Graduate, No,7200000,23100000,12,632, Approved,36900000
0, Not Graduate, No,2000000,4800000,20,337, Rejected,10700000
4, Graduate, Yes,8600000,27900000,8,458, Rejected,69900000
2, Graduate, Yes,2300000,5400000,8,364, Rejected,14000000
2, Not Graduate, Yes,9600000,29800000,16,499, Rejected,74000000
2, Graduate, Yes,1900000,6500000,16,887, Approved,9400000
1, Graduate, No,2100000,6300000,16,882, Approved,16700000
1, Not Graduate, Yes,3900000,8700000,8,817, Approved,16200000
5, Not Graduate, Yes,200000,300000,10,704, Approved,1600000
1, Not Graduate, Yes,1900000,4500000,12,742, Approved,8800000
0, Not Graduate, Yes,3200000,11600000,4,393, Approved,16100000
0, Not Graduate, No,1100000,4300000,18,828, Approved,5300000
5, Graduate, Yes,8000000,21500000,12,779, Approved,57900000
4, Graduate, Yes,6100000,21700000,6,860, Approved,34500000
5, Graduate, No,3200000,10600000,2,432, Approved,25100000
4, Graduate, Yes,9000000,30400000,20,532, Rejected,72000000
0, Not Graduate, Yes,1200000,3200000,2,678, Approved,6800000
3, Graduate, No,7900000,27000000,6,601, Approved,64600000
3, Graduate, Yes,7700000,23100000,8,807, Approved,40100000
2, Not Graduate, No,4400000,16500000,16,879, Approved,31000000
1, Not Graduate, No,3100000,11200000,18,665, Approved,21900000
5, Not Graduate, Yes,2600000,9300000,16,697, Approved,17700000
4, Graduate, No,5500000,21700000,14,867, Approved,32000000
1, Graduate, No,5700000,15500000,8,544, Rejected,47100000
5, Graduate, No,6100000,20700000,20,482, Rejected,34200000
2, Graduate, No,8200000,22500000,18,857, Approved,64500000
1, Graduate, No,6000000,21200000,12,549, Rejected,49200000
1, Graduate, Yes,8000000,30600000,10,720, Approved,66800000
4, Not Graduate, No,2000000,4800000,8,302, Rejected,8900000
5, Graduate, Yes,1300000,2900000,12,669, Approved,7800000
1, Graduate, No,7000000,27100000,6,591, Approved,45300000
3, Graduate, No,4100000,15300000,6,440, Rejected,22800000
3, Graduate, No,8000000,26200000,16,890, Approved,49100000
4, Not Graduate, No,8100000,28000000,8,663, Approved,51600000
4, Graduate, Yes,9500000,22600000,14,433, Rejected,47400000
0, Graduate, No,9200000,22500000,10,317, Rejected,70800000
2, Graduate, No,3900000,14700000,16,360, Rejected,14000000
1, Graduate, No,9100000,26200000,8,727, Approved,64600000
3, Graduate, Yes,3000000,8300000,4,685, Approved,23400000
4, Graduate, No,2000000,4300000,8,373, Rejected,14600000
5, Graduate, No,6300000,14600000,8,469, Rejected,51700000
3, Not Graduate, Yes,4100000,10900000,8,548, Rejected,31500000
0, Not Graduate, No,9800000,29400000,20,618, Approved,57900000
2, Graduate, No,5200000,15400000,8,658, Approved,24700000
3, Graduate, No,7600000,28700000,18,781, Approved,71300000
3, Not Graduate, No,9200000,35500000,2,715, Approved,54400000
5, Not Graduate, No,2200000,8100000,4,409, Rejected,7600000
2, Not Graduate, Yes,8300000,20600000,10,504, Rejected,40900000
3, Graduate, Yes,6100000,21600000,16,428, Rejected,31300000
2, Graduate, No,4500000,16600000,20,704, Approved,29900000
3, Not Graduate, No,6600000,18800000,12,834, Approved,46600000
4, Not Graduate, No,8900000,34900000,14,694, Approved,47900000
4, Graduate, Yes,3900000,13300000,20,453, Rejected,27300000
3, Graduate, Yes,8900000,35400000,14,404, Rejected,62300000
5, Not Graduate, No,6400000,22300000,12,776, Approved,39500000
1, Not Graduate, Yes,9500000,28700000,16,526, Rejected,67900000
3, Graduate, Yes,300000,1000000,8,641, Approved,2200000
5, Not Graduate, No,4100000,12300000,6,582, Approved,34600000
2, Graduate, No,8100000,20800000,18,778, Approved,46900000
4, Graduate, No,9900000,28400000,10,763, Approved,78000000
0, Not Graduate, No,4800000,19000000,12,650, Approved,28400000
0, Graduate, Yes,2900000,9700000,2,820, Approved,21300000
1, Not Graduate, Yes,3500000,13500000,12,824, Approved,28000000
1, Not Graduate, Yes,4900000,12600000,4,718, Approved,34700000
2, Not Graduate, Yes,5100000,13300000,14,313, Rejected,35700000
5, Graduate, No,7300000,26200000,10,751, Approved,50700000
0, Graduate, Yes,200000,300000,18,520, Rejected,1100000
2, Graduate, No,1400000,4700000,4,355, Approved,8500000
3, Graduate, Yes,8700000,33600000,14,314, Rejected,45600000
1, Not Graduate, Yes,2800000,5900000,20,728, Approved,15900000
3, Graduate, Yes,9100000,30100000,14,564, Approved,64800000
0, Not Graduate, Yes,6800000,15300000,14,699, Approved,44700000
0, Not Graduate, Yes,5000000,17000000,6,624, Approved,34200000
0, Graduate, Yes,4400000,16800000,14,795, Approved,33400000
5, Not Graduate, Yes,8400000,18600000,20,703, Approved,47900000
4, Graduate, No,7800000,17300000,4,394, Rejected,48200000
4, Graduate, Yes,4800000,9900000,14,779, Approved,36000000
1, Graduate, No,3200000,8800000,4,405, Rejected,17700000
5, Graduate, Yes,2300000,6700000,16,612, Approved,20800000
5, Not Graduate, Yes,9200000,28100000,10,448, Rejected,69500000
2, Not Graduate, Yes,4700000,13700000,6,506, Rejected,29400000
0, Not Graduate, Yes,8000000,30400000,2,776, Approved,54900000
1, Graduate, Yes,2600000,8600000,6,730, Approved,12800000
3, Not Graduate, No,200000,800000,20,730, Approved,1000000
5, Graduate, No,7300000,17200000,2,345, Rejected,42600000
4, Not Graduate, No,3300000,11800000,2,847, Approved,25300000
4, Not Graduate, No,8300000,23300000,20,398, Rejected,57000000
5, Not Graduate, Yes,4100000,9600000,2,307, Rejected,28200000
1, Not Graduate, No,7300000,23700000,16,852, Approved,47300000
1, Not Graduate, No,9300000,27500000,6,364, Rejected,62100000
2, Graduate, Yes,4300000,15200000,12,552, Approved,23000000
3, Not Graduate, No,2600000,8100000,2,421, Approved,16000000
5, Graduate, No,2900000,9800000,12,588, Approved,17900000
2, Graduate, Yes,900000,3500000,6,763, Approved,5200000
3, Not Graduate, Yes,4900000,17500000,20,823, Approved,40400000
0, Graduate, No,7700000,24800000,10,642, Approved,59400000
1, Graduate, No,4700000,16800000,12,647, Approved,32700000
5, Not Graduate, No,3000000,8900000,20,886, Approved,17000000
4, Not Graduate, No,9700000,26200000,4,518, Rejected,62700000
0, Graduate, Yes,6900000,26800000,20,515, Rejected,38300000
2, Not Graduate, Yes,3800000,12400000,8,340, Rejected,16700000
3, Not Graduate, Yes,600000,1700000,14,521, Rejected,3300000
2, Not Graduate, Yes,1200000,2900000,12,330, Rejected,6400000
4, Not Graduate, Yes,7800000,26800000,2,474, Approved,44100000
0, Not Graduate, No,9000000,35100000,6,898, Approved,46500000
1, Not Graduate, No,2800000,9100000,12,436, Rejected,15500000
1, Not Graduate, No,7800000,21300000,10,326, Rejected,56500000
4, Graduate, Yes,4700000,9500000,18,876, Approved,40500000
2, Graduate, No,4600000,17500000,20,597, Approved,35700000
4, Graduate, No,5100000,16100000,14,436, Rejected,33900000
3, Not Graduate, Yes,6100000,22800000,18,640, Approved,49700000
0, Not Graduate, No,6000000,22900000,16,302, Rejected,43500000
2, Not Graduate, No,8400000,23200000,16,476, Rejected,47900000
2, Graduate, No,9300000,22000000,14,393, Rejected,50400000
0, Graduate, No,4200000,10300000,10,506, Rejected,32200000
3, Graduate, No,9600000,37800000,10,418, Rejected,58400000
3, Graduate, No,5600000,13400000,6,865, Approved,42900000
4, Graduate, No,7800000,28600000,2,703, Approved,52900000
2, Graduate, Yes,4500000,12600000,2,568, Approved,31500000
3, Graduate, No,2400000,5900000,2,425, Rejected,11500000
0, Not Graduate, No,3900000,11300000,12,305, Rejected,21800000
5, Graduate, Yes,9600000,20600000,6,456, Rejected,61600000
4, Not Graduate, No,900000,2600000,2,602, Approved,5600000
3, Graduate, Yes,1100000,3800000,20,814, Approved,7200000
4, Not Graduate, No,6400000,24900000,2,640, Approved,40700000
2, Graduate, No,4600000,15000000,4,817, Approved,29200000
4, Graduate, No,7600000,29800000,20,361, Rejected,40800000
5, Not Graduate, No,6800000,20100000,14,839, Approved,25600000
5, Graduate, No,7100000,27000000,20,592, Approved,42500000
4, Not Graduate, Yes,6700000,24700000,6,498, Rejected,40800000
5, Not Graduate, Yes,5800000,12400000,6,847, Approved,35800000
0, Graduate, Yes,8600000,29400000,16,643, Approved,60400000
0, Graduate, Yes,3500000,10600000,4,389, Approved,24700000
2, Graduate, Yes,4800000,17500000,20,381, Rejected,27700000
5, Graduate, Yes,6100000,14400000,16,400, Rejected,41400000
5, Graduate, Yes,5200000,12700000,16,718, Approved,37100000
5, Not Graduate, Yes,4100000,12400000,8,309, Rejected,25500000
5, Not Graduate, No,3200000,7400000,2,838, Approved,18900000
3, Not Graduate, Yes,7500000,21600000,14,678, Approved,52200000
2, Not Graduate, Yes,1500000,4500000,14,826, Approved,11100000
4, Graduate, Yes,1200000,3100000,16,348, Rejected,8600000
1, Graduate, Yes,8400000,19700000,6,476, Rejected,85100000
0, Not Graduate, Yes,7900000,26300000,8,666, Approved,44000000
1, Graduate, Yes,2100000,4300000,20,896, Approved,12200000
2, Graduate, No,2500000,7000000,20,547, Rejected,9500000
2, Not Graduate, Yes,3700000,13900000,2,405, Approved,23700000
5, Graduate, No,1100000,4000000,16,498, Rejected,3500000
5, Graduate, No,6500000,24800000,8,779, Approved,41100000
0, Not Graduate, Yes,8200000,31500000,8,403, Rejected,45400000
2, Not Graduate, No,5000000,12400000,8,709, Approved,35600000
1, Not Graduate, No,1500000,6000000,6,507, Rejected,12000000
5, Not Graduate, No,3700000,9100000,18,368, Rejected,17500000
3, Graduate, Yes,4100000,14600000,16,760, Approved,29200000
2, Not Graduate, No,7200000,16800000,6,796, Approved,36900000
1, Graduate, No,2000000,5000000,6,876, Approved,10700000
3, Not Graduate, No,2000000,4700000,14,673, Approved,11600000
1, Graduate, Yes,5100000,11500000,4,747, Approved,35000000
1, Not Graduate, No,6000000,13600000,12,589, Approved,29000000
1, Graduate, No,4900000,18100000,8,382, Rejected,31900000
3, Not Graduate, Yes,900000,2300000,12,900, Approved,5700000
1, Graduate, Yes,7500000,25000000,18,628, Approved,32100000
2, Graduate, No,6400000,25000000,12,667, Approved,49900000
2, Graduate, Yes,8700000,26400000,2,778, Approved,50000000
4, Graduate, Yes,7300000,17200000,18,831, Approved,51000000
5, Graduate, No,7400000,27100000,4,320, Approved,69000000
2, Graduate, No,2700000,9300000,16,656, Approved,20200000
3, Graduate, No,3400000,8900000,6,896, Approved,23400000
3, Not Graduate, Yes,2100000,7400000,4,320, Approved,14500000
2, Not Graduate, No,3100000,10500000,10,751, Approved,22000000
5, Not Graduate, No,4700000,17400000,2,523, Approved,33700000
5, Graduate, No,3100000,10500000,6,584, Approved,23600000
2, Not Graduate, No,5700000,20400000,2,630, Approved,31600000
3, Graduate, Yes,2300000,8000000,14,472, Rejected,17200000
0, Not Graduate, Yes,6600000,18500000,16,802, Approved,47200000
2, Graduate, Yes,2700000,6400000,18,547, Rejected,17600000
1, Not Graduate, Yes,800000,2800000,16,726, Approved,7600000
1, Graduate, No,6600000,18500000,8,712, Approved,37500000
3, Graduate, No,3900000,10700000,6,790, Approved,27700000
5, Not Graduate, No,200000,600000,16,396, Rejected,700000
3, Graduate, No,2000000,4200000,6,831, Approved,11100000
2, Graduate, Yes,9100000,20900000,20,632, Approved,47800000
3, Graduate, No,4700000,10800000,8,527, Rejected,34800000
3, Not Graduate, Yes,3200000,11100000,6,708, Approved,24200000
2, Not Graduate, No,1700000,4200000,14,829, Approved,8000000
1, Not Graduate, No,2600000,8100000,12,854, Approved,18400000
3, Not Graduate, Yes,2700000,6700000,14,899, Approved,14600000
0, Not Graduate, Yes,3600000,13400000,6,589, Approved,18800000
4, Graduate, Yes,7200000,26000000,6,571, Approved,31500000
2, Not Graduate, Yes,2500000,6400000,6,708, Approved,20500000
2, Not Graduate, No,5500000,19600000,16,328, Rejected,21800000
3, Graduate, Yes,9200000,33500000,8,564, Approved,77200000
3, Not Graduate, No,9000000,19000000,8,693, Approved,59600000
4, Not Graduate, Yes,5900000,15000000,14,626, Approved,46800000
4, Graduate, No,5600000,15600000,12,470, Rejected,42200000
2, Not Graduate, Yes,3200000,12500000,8,849, Approved,20500000
5, Not Graduate, No,9100000,27800000,16,547, Rejected,70200000
0, Not Graduate, Yes,4600000,15100000,2,417, Approved,27900000
4, Graduate, No,7300000,14900000,2,358, Rejected,53600000
5, Not Graduate, Yes,1300000,3100000,16,826, Approved,8400000
0, Not Graduate, No,1800000,4200000,6,836, Approved,12000000
3, Graduate, No,500000,1700000,10,509, Rejected,2400000
2, Not Graduate, Yes,5700000,20500000,20,581, Approved,42900000
4, Graduate, No,300000,1100000,4,359, Approved,1300000
5, Graduate, Yes,2100000,7100000,10,517, Rejected,10900000
1, Not Graduate, Yes,5700000,20100000,14,442, Rejected,43400000
1, Not Graduate, Yes,1100000,2700000,16,346, Rejected,5200000
5, Graduate, No,9300000,34000000,6,742, Approved,45800000
1, Graduate, Yes,3500000,8100000,10,626, Approved,22700000
0, Not Graduate, Yes,8200000,28800000,4,619, Approved,39400000
2, Not Graduate, Yes,7500000,17900000,20,734, Approved,42500000
1, Graduate, Yes,7000000,25600000,6,420, Rejected,50600000
5, Not Graduate, Yes,3900000,8300000,18,600, Approved,20500000
3, Graduate, Yes,4700000,13200000,12,440, Rejected,28200000
5, Not Graduate, Yes,1700000,5200000,16,820, Approved,7900000
0, Graduate, No,2500000,7800000,8,437, Rejected,14900000
1, Not Graduate, Yes,400000,1400000,12,468, Rejected,2600000
0, Not Graduate, Yes,2400000,9100000,8,368, Rejected,11300000
4, Graduate, No,5700000,21900000,2,871, Approved,25400000
1, Graduate, No,9800000,37900000,4,816, Approved,68600000
5, Graduate, No,9000000,32800000,4,773, Approved,45100000
3, Not Graduate, No,800000,3000000,14,576, Approved,5500000
1, Graduate, No,1600000,4500000,14,673, Approved,9600000
0, Graduate, Yes,9800000,34100000,20,760, Approved,77900000
5, Not Graduate, Yes,2900000,7500000,12,678, Approved,21000000
4, Not Graduate, Yes,3900000,12000000,14,893, Approved,28800000
0, Graduate, Yes,3300000,9000000,18,754, Approved,21600000
3, Graduate, Yes,700000,2200000,8,617, Approved,5300000
3, Not Graduate, Yes,8400000,29500000,20,661, Approved,57800000
1, Graduate, Yes,4000000,12100000,12,356, Rejected,33600000
0, Not Graduate, Yes,1900000,6300000,16,811, Approved,8200000
0, Not Graduate, No,3900000,14600000,2,730, Approved,33200000
5, Not Graduate, No,7400000,18000000,2,792, Approved,39900000
5, Not Graduate, Yes,5900000,16000000,6,798, Approved,36300000
2, Not Graduate, No,1400000,2900000,12,490, Rejected,9000000
2, Graduate, Yes,1800000,5500000,6,448, Rejected,10100000
0, Graduate, Yes,1000000,3100000,6,525, Rejected,7800000
1, Graduate, No,7400000,19200000,20,415, Rejected,43200000
5, Graduate, No,2700000,10600000,16,496, Rejected,15800000
1, Not Graduate, Yes,3600000,13100000,8,543, Rejected,15600000
5, Graduate, No,7000000,18400000,12,520, Rejected,37400000
4, Not Graduate, Yes,5000000,18000000,14,307, Rejected,27000000
2, Graduate, No,1800000,5700000,14,502, Rejected,8200000
2, Graduate, Yes,4700000,12000000,6,505, Rejected,27500000
2, Not Graduate, Yes,6700000,23100000,4,304, Approved,55800000
5, Not Graduate, No,5800000,17500000,10,719, Approved,23200000
0, Graduate, Yes,5900000,22700000,18,855, Approved,38200000
4, Not Graduate, No,6000000,15800000,18,593, Approved,31200000
1, Not Graduate, Yes,700000,1400000,10,523, Rejected,4300000
0, Not Graduate, Yes,3700000,13100000,14,385, Rejected,31500000
0, Graduate, Yes,7100000,19300000,6,783, Approved,35500000
5, Graduate, Yes,1100000,3900000,2,538, Approved,7600000
3, Not Graduate, Yes,9500000,20100000,2,506, Rejected,61300000
4, Not Graduate, Yes,2200000,8600000,2,461, Approved,11200000
4, Not Graduate, Yes,5500000,20000000,8,666, Approved,34400000
3, Not Graduate, Yes,4400000,16300000,20,561, Approved,29500000
5, Not Graduate, No,5000000,10800000,10,345, Rejected,37700000
4, Not Graduate, Yes,6100000,12500000,14,862, Approved,41500000
3, Not Graduate, No,8100000,22300000,10,686, Approved,54500000
4, Graduate, Yes,7000000,19600000,8,708, Approved,49000000
4, Not Graduate, No,5600000,14800000,20,656, Approved,36900000
4, Graduate, No,1800000,7000000,14,743, Approved,9600000
2, Graduate, No,3600000,12100000,14,408, Rejected,32700000
5, Graduate, No,600000,1300000,14,408, Rejected,3800000
1, Graduate, Yes,4900000,16500000,12,439, Rejected,26400000
3, Graduate, Yes,3000000,7100000,6,415, Rejected,19700000
0, Not Graduate, Yes,3800000,10600000,12,490, Rejected,27300000
1, Graduate, Yes,7600000,30000000,16,884, Approved,44900000
4, Graduate, No,7800000,25400000,18,425, Rejected,54700000
0, Graduate, No,6800000,21700000,20,730, Approved,41000000
4, Graduate, Yes,5900000,17300000,20,657, Approved,24200000
2, Not Graduate, No,4900000,16800000,10,480, Rejected,26400000
3, Not Graduate, Yes,1100000,3100000,16,356, Rejected,6000000
1, Not Graduate, Yes,9800000,36000000,12,629, Approved,73100000
1, Graduate, Yes,1200000,4700000,2,667, Approved,6400000
0, Not Graduate, No,4700000,11500000,18,559, Approved,28800000
4, Graduate, No,6700000,16000000,4,791, Approved,38900000
0, Not Graduate, Yes,3700000,11300000,6,538, Rejected,22400000
2, Graduate, No,7400000,16000000,20,358, Rejected,53300000
2, Not Graduate, No,3300000,11700000,14,439, Rejected,20300000
2, Graduate, Yes,4800000,15300000,12,503, Rejected,23600000
4, Graduate, Yes,4600000,11900000,6,810, Approved,42100000
1, Graduate, Yes,8000000,30600000,14,302, Rejected,56500000
0, Not Graduate, No,4100000,8800000,18,300, Rejected,29400000
4, Not Graduate, No,2600000,7200000,16,612, Approved,9500000
3, Not Graduate, No,1300000,5000000,6,686, Approved,9700000
0, Graduate, Yes,2300000,4900000,12,409, Rejected,13600000
5, Graduate, No,300000,900000,6,492, Rejected,2200000
0, Graduate, Yes,7000000,21700000,20,498, Rejected,30700000
3, Not Graduate, Yes,4400000,10900000,18,611, Approved,26700000
5, Not Graduate, Yes,5100000,11800000,6,776, Approved,22900000
1, Not Graduate, No,5900000,13000000,6,779, Approved,42100000
3, Graduate, Yes,7800000,27200000,16,560, Approved,42100000
4, Graduate, Yes,2200000,5100000,6,308, Rejected,15500000
4, Not Graduate, No,5400000,12600000,18,786, Approved,30400000
1, Not Graduate, No,7400000,29100000,8,597, Approved,40200000
4, Graduate, No,5800000,12000000,12,811, Approved,35500000
1, Graduate, Yes,5800000,13000000,12,862, Approved,35600000
3, Not Graduate, Yes,4800000,14200000,12,369, Rejected,20400000
1, Not Graduate, Yes,7400000,23900000,4,687, Approved,63400000
0, Not Graduate, Yes,9600000,19600000,12,500, Rejected,70700000
2, Not Graduate, Yes,200000,500000,6,746, Approved,900000
4, Not Graduate, No,700000,2100000,14,619, Approved,6000000
2, Not Graduate, No,7600000,16700000,20,692, Approved,52000000
1, Not Graduate, Yes,1400000,3300000,18,321, Rejected,6100000
2, Not Graduate, Yes,3800000,15000000,14,730, Approved,28000000
3, Not Graduate, No,2700000,10800000,6,480, Rejected,18200000
2, Not Graduate, Yes,5000000,10700000,2,753, Approved,38800000
4, Graduate, Yes,9000000,28900000,6,637, Approved,50300000
3, Graduate, No,3700000,9000000,6,483, Rejected,23200000
4, Not Graduate, Yes,300000,1100000,4,315, Approved,1800000
4, Graduate, No,1800000,4100000,8,777, Approved,10200000
2, Graduate, No,7900000,17700000,4,402, Rejected,66700000
4, Graduate, Yes,2100000,7700000,8,493, Rejected,10400000
0, Graduate, Yes,900000,3100000,4,355, Approved,5300000
3, Graduate, No,9900000,23600000,18,557, Approved,59000000
0, Not Graduate, Yes,5600000,20000000,20,606, Approved,35200000
1, Not Graduate, Yes,6000000,12200000,16,743, Approved,34900000
5, Not Graduate, No,5700000,18400000,4,579, Approved,38900000
0, Graduate, Yes,9000000,33100000,20,734, Approved,44300000
0, Graduate, No,7300000,16100000,2,490, Rejected,41500000
5, Graduate, No,5300000,20500000,16,802, Approved,43500000
1, Not Graduate, Yes,3500000,7400000,16,867, Approved,18700000
0, Not Graduate, No,1000000,2200000,12,302, Rejected,7700000
0, Not Graduate, No,5100000,19900000,12,867, Approved,32900000
0, Graduate, Yes,2900000,9900000,8,312, Rejected,21200000
3, Not Graduate, No,7600000,19100000,14,762, Approved,60600000
5, Not Graduate, Yes,6000000,14700000,18,462, Rejected,42400000
1, Graduate, No,6300000,18200000,18,849, Approved,30800000
3, Not Graduate, No,1900000,7400000,18,592, Approved,13100000
4, Graduate, No,600000,1400000,4,507, Rejected,2600000
2, Not Graduate, Yes,4100000,11400000,14,505, Rejected,31200000
0, Not Graduate, Yes,800000,3200000,8,467, Rejected,5200000
2, Not Graduate, No,6600000,22900000,16,543, Rejected,48300000
4, Graduate, Yes,300000,1100000,12,674, Approved,1600000
3, Graduate, No,6100000,13500000,2,717, Approved,39400000
5, Not Graduate, Yes,4800000,17000000,10,666, Approved,27500000
4, Not Graduate, No,4500000,17300000,18,830, Approved,18900000
2, Graduate, No,3800000,9400000,16,383, Rejected,20300000
2, Graduate, Yes,7000000,18900000,8,584, Approved,52200000
2, Not Graduate, No,4400000,14200000,18,799, Approved,27300000
5, Graduate, No,5300000,19400000,6,510, Rejected,39000000
0, Not Graduate, Yes,2600000,5900000,6,572, Approved,20000000
3, Not Graduate, No,3300000,13100000,2,554, Approved,19000000
1, Not Graduate, Yes,1200000,4800000,6,344, Rejected,9100000
3, Graduate, No,4300000,8600000,8,881, Approved,34800000
0, Not Graduate, Yes,8400000,27200000,10,514, Rejected,36200000
0, Graduate, No,600000,1800000,18,796, Approved,3400000
2, Graduate, Yes,4700000,16200000,12,802, Approved,29200000
3, Graduate, No,4200000,12500000,20,375, Rejected,19700000
2, Graduate, No,4300000,14700000,2,871, Approved,29700000
0, Not Graduate, No,800000,2900000,2,439, Approved,4900000
